waiting_times,avg_speeds,queue_lengths,travel_times,stopped_vehicles
0.0,22.514833316270494,2,0.0,2
3.5,23.706744949161298,4,0.0,4
1.0,39.377889590920496,1,24.0,1
1.5,18.51595122857225,2,32.0,2
11.0,21.77149490863671,1,38.8,1
21.0,23.674256609901217,1,40.76923076923077,1
13.75,8.40978236883819,4,42.6,4
23.75,29.168664893573855,4,50.57142857142857,4
14.8,25.694163974145,10,52.68,10
61.0,22.927904651560464,1,54.074074074074076,1
26.333333333333332,14.633337092005048,3,55.82142857142857,3
10.818181818181818,19.36281095795516,11,59.696969696969695,11
17.307692307692307,36.61211774171957,13,60.578947368421055,13
24.5,0.32484503592049346,14,61.875,14
111.0,20.727559853012046,1,65.67391304347827,1
23.0,23.78792223721187,7,65.63829787234043,7
13.4,23.494085385331537,20,67.05882352941177,20
23.210526315789473,25.757095881951898,19,66.20754716981132,19
26.8,33.439617735362496,25,64.26315789473684,25
91.0,23.594550268618534,2,66.93548387096774,2
53.0,22.96896767785435,4,67.12307692307692,4
17.0,28.64502016646255,20,68.68055555555556,20
24.130434782608695,25.271118834965893,23,70.48684210526316,23
30.653846153846153,23.10355298499139,26,72.8395061728395,26
71.0,17.500965395080005,4,72.55421686746988,4
36.4,26.631225303869613,10,72.54651162790698,10
27.285714285714285,38.143675910120734,14,74.45555555555555,14
30.22222222222222,22.9458028718156,18,76.26595744680851,18
38.526315789473685,23.619970793548774,19,76.77319587628865,19
77.2,18.333175146996087,5,84.08571428571429,5
23.0,14.391194326666007,24,93.0,24
34.1,29.34616013038146,20,99.575,20
31.75,21.520736263947143,28,104.73282442748092,28
27.633333333333333,14.55747786448258,30,102.88970588235294,30
4.25,26.91434054953413,4,102.52142857142857,4
6.761904761904762,12.168837879217028,21,101.96478873239437,21
9.526315789473685,28.825219096200744,19,101.59027777777777,19
15.423076923076923,19.52251952176755,26,100.90604026845638,26
27.523809523809526,38.94605887952486,21,100.73509933774834,21
37.666666666666664,34.07963142377311,3,103.50632911392405,3
17.0,19.354361571007423,9,109.47272727272727,9
15.555555555555555,31.744292176240403,18,109.22093023255815,18
23.35,32.790805676977406,20,109.15730337078652,20
30.043478260869566,17.206181297183807,23,108.97206703910615,23
17.666666666666668,15.76879350017793,15,110.92934782608695,15
17.692307692307693,11.136323309959842,26,110.62765957446808,26
27.708333333333332,26.127762602139327,24,113.39285714285714,24
36.75,28.993470810994893,24,114.83980582524272,24
41.421052631578945,23.957720210580135,19,116.58215962441315,19
32.81818181818182,16.35359187007276,11,121.1689497716895,11
46.0,8.991649515540162,9,120.69911504424779,9
23.333333333333332,18.20287079975647,27,119.63478260869566,27
27.424242424242426,18.48468456168681,33,120.15151515151516,33
37.857142857142854,21.75940937040935,21,120.0603448275862,21
30.7,25.419603769040805,20,119.47280334728033,20
54.8,9.0241181599475,10,118.90495867768595,10
35.45,37.92822761271652,20,123.08366533864542,20
29.59375,8.322384288508395,32,124.234375,32
132.6,18.93146565346793,5,128.1578947368421,5
31.608695652173914,19.619823907799113,23,127.39852398523985,23
41.44444444444444,22.364577095239486,18,126.99270072992701,18
39.0,27.87840566206217,24,125.92086330935251,24
40.48275862068966,15.18997251470671,29,124.73144876325088,29
196.75,17.163199259435963,4,128.4623287671233,4
6.454545454545454,13.296426211031791,11,127.8108108108108,11
10.68,16.610579923484583,25,128.32119205298014,25
19.333333333333332,28.567554964857173,27,131.2811501597444,27
28.285714285714285,14.244276432963625,28,131.99053627760253,28
39.333333333333336,7.0666948349815994,3,134.98776758409787,3
30.6,32.48228982879085,5,133.74698795180723,5
21.181818181818183,26.315112280025414,11,133.0,11
20.31578947368421,18.87049340773464,19,135.12209302325581,19
18.91891891891892,21.82367377199449,37,136.53125,37
26.733333333333334,24.565305172527136,15,136.53125,15
18.869565217391305,29.694919338860668,23,135.90704225352113,23
20.1,26.131541218193775,20,136.96648044692736,20
25.0,13.823018263870464,25,135.97520661157026,25
38.5,21.168638197749157,20,134.9810298102981,20
57.0,13.008732475776439,8,134.19302949061662,8
37.25,26.45161592299022,16,133.89920424403184,16
29.137931034482758,19.489181107046193,29,134.77105263157895,29
40.2962962962963,44.26451424952637,27,140.7037037037037,27
50.2962962962963,16.450545124291512,27,142.58156028368793,27
162.5,25.1405612629476,4,141.94145199063232,4
87.5,30.705562510966473,8,141.33488372093024,8
64.08333333333333,42.614875425067936,12,140.71658986175115,12
56.1875,18.085950354649523,16,140.41363636363636,16
61.588235294117645,21.96894068401442,17,140.1814058956916,17
68.46153846153847,30.957389213891418,13,140.0158371040724,13
149.0,18.087031710615275,6,139.42376681614348,6
57.111111111111114,13.358271230630626,18,140.68,18
50.541666666666664,3.3223632673870758,24,140.28097345132744,24
62.27272727272727,11.456441815683746,22,139.06290672451192,22
156.85714285714286,28.942985545006515,7,138.75809935205183,7
63.07142857142857,16.833582483194625,14,138.39529914529913,14
7.1,13.29498399681641,20,140.76458333333332,20
15.695652173913043,23.502210198393772,23,143.49196787148594,23
23.25,4.144396408782434,16,143.7684630738523,16
12.25,38.26876868041364,16,143.234126984127,16
10.743589743589743,12.269833301761821,39,143.38976377952756,39
26.47826086956522,6.2870242425894975,23,143.55252918287937,23
23.44736842105263,22.167039414127434,38,143.11175337186899,38
41.45454545454545,17.925798360407768,11,142.61832061068702,11
45.875,33.42735265409185,8,143.4659090909091,8
24.25,22.91366080673956,20,143.84112149532712,20
27.5,35.15640075310857,22,143.48794063079777,22
32.23076923076923,23.015512912330532,26,143.11992619926198,26
65.33333333333333,21.565735974434148,9,142.58866544789763,9
35.1578947368421,28.23789685559359,19,142.43897996357012,19
30.862068965517242,30.096709593027974,29,143.66486486486485,29
41.2962962962963,19.553174332010666,27,143.86347517730496,27
46.766666666666666,14.970829937371198,30,145.33102253032928,30
100.88888888888889,15.266164522967099,9,144.80650684931507,9
165.2,31.998947237412555,5,145.07155025553664,5
40.34782608695652,22.1214180879858,23,145.50335570469798,23
48.416666666666664,24.211811866549283,24,145.44648829431438,24
50.464285714285715,24.533828306867235,28,145.10482529118136,28
70.0,14.040107369666021,15,144.87272727272727,15
59.95,29.783205010955125,20,144.64262295081969,20
57.0,15.966694533022189,25,144.03727714748786,25
58.84615384615385,33.71920824602466,26,143.99838969404186,26
51.77142857142857,19.46215197394366,35,143.58493589743588,35
135.1,13.96049404794723,10,143.66931637519872,10
97.8,13.480914553028166,15,143.6873015873016,15
58.310344827586206,26.39148110008621,29,143.55854430379748,29
19.58823529411765,16.683252193003884,17,145.63100775193797,17
